Team Name,W,L,PCT,GB,PPG,OPP PPG,DIFF,STRK,Title,HOME-W,HOME-L,AWAY-W,AWAY-L,DIV-W,DIV-L,CONF-W,CONF-L,Last10-W,Last10-L
San Antonio Spurs,60,22,0.732,0.0,95.8,90.4,5.4,L1,NBA Standings Regular Season 2002-03,33,8,27,14,17,7,0,0,8,2
Dallas Mavericks,60,22,0.732,0.0,103.0,95.2,7.8,W3,NBA Standings Regular Season 2002-03,33,8,27,14,18,6,0,0,6,4
Sacramento Kings,59,23,0.72,1.0,101.7,95.2,6.5,W2,NBA Standings Regular Season 2002-03,35,6,24,17,17,7,0,0,8,2
Minnesota Timberwolves,51,31,0.622,9.0,98.1,96.0,2.1,W3,NBA Standings Regular Season 2002-03,33,8,18,23,15,9,0,0,5,5
Detroit Pistons,50,32,0.61,10.0,91.4,87.7,3.7,L1,NBA Standings Regular Season 2002-03,30,11,20,21,19,9,0,0,4,6
Los Angeles Lakers,50,32,0.61,10.0,100.4,98.0,2.4,W2,NBA Standings Regular Season 2002-03,31,10,19,22,15,9,0,0,8,2
Portland Trail Blazers,50,32,0.61,10.0,95.2,92.5,2.7,L1,NBA Standings Regular Season 2002-03,27,14,23,18,15,9,0,0,5,5
New Jersey Nets,49,33,0.598,11.0,95.4,90.1,5.3,L2,NBA Standings Regular Season 2002-03,33,8,16,25,16,8,0,0,5,5
Indiana Pacers,48,34,0.585,12.0,96.8,93.3,3.5,W2,NBA Standings Regular Season 2002-03,32,9,16,25,19,9,0,0,6,4
Philadelphia 76ers,48,34,0.585,12.0,96.8,94.5,2.3,W1,NBA Standings Regular Season 2002-03,25,16,23,18,17,7,0,0,5,5
New Orleans Hornets,47,35,0.573,13.0,93.9,91.8,2.1,W5,NBA Standings Regular Season 2002-03,29,12,18,23,17,11,0,0,7,3
Utah Jazz,47,35,0.573,13.0,94.7,92.3,2.4,L2,NBA Standings Regular Season 2002-03,29,12,18,23,15,9,0,0,4,6
Boston Celtics,44,38,0.537,16.0,92.7,93.0,-0.3,W2,NBA Standings Regular Season 2002-03,25,16,19,22,13,12,0,0,6,4
Phoenix Suns,44,38,0.537,16.0,95.5,94.4,1.1,L2,NBA Standings Regular Season 2002-03,30,11,14,27,12,12,0,0,6,4
Houston Rockets,43,39,0.524,17.0,93.8,92.3,1.5,W3,NBA Standings Regular Season 2002-03,28,13,15,26,11,13,0,0,6,4
Milwaukee Bucks,42,40,0.512,18.0,99.5,99.3,0.2,W4,NBA Standings Regular Season 2002-03,25,16,17,24,16,12,0,0,8,2
Orlando Magic,42,40,0.512,18.0,98.5,98.4,0.1,L2,NBA Standings Regular Season 2002-03,26,15,16,25,14,11,0,0,4,6
Seattle SuperSonics,40,42,0.488,20.0,92.1,92.3,-0.2,W1,NBA Standings Regular Season 2002-03,25,16,15,26,11,13,0,0,5,5
Golden State Warriors,38,44,0.463,22.0,102.4,103.6,-1.2,L4,NBA Standings Regular Season 2002-03,24,17,14,27,8,16,0,0,3,7
Washington Wizards,37,45,0.451,23.0,91.5,92.5,-1.0,L3,NBA Standings Regular Season 2002-03,23,18,14,27,11,13,0,0,3,7
New York Knicks,37,45,0.451,23.0,95.9,97.2,-1.3,L1,NBA Standings Regular Season 2002-03,24,17,13,28,9,15,0,0,5,5
Atlanta Hawks,35,47,0.427,25.0,94.1,97.6,-3.5,L1,NBA Standings Regular Season 2002-03,26,15,9,32,14,14,0,0,6,4
Chicago Bulls,30,52,0.366,30.0,94.9,100.1,-5.2,W1,NBA Standings Regular Season 2002-03,27,14,3,38,12,16,0,0,4,6
Memphis Grizzlies,28,54,0.341,32.0,97.5,100.7,-3.2,L3,NBA Standings Regular Season 2002-03,20,21,8,33,5,19,0,0,2,8
LA Clippers,27,55,0.329,33.0,93.8,98.0,-4.2,W3,NBA Standings Regular Season 2002-03,16,25,11,30,6,18,0,0,5,5
Miami Heat,25,57,0.305,35.0,85.6,90.6,-5.0,W1,NBA Standings Regular Season 2002-03,16,25,9,32,5,19,0,0,3,7
Toronto Raptors,24,58,0.293,36.0,90.9,96.7,-5.8,L8,NBA Standings Regular Season 2002-03,15,26,9,32,10,18,0,0,1,9
Denver Nuggets,17,65,0.207,43.0,84.2,92.4,-8.2,L8,NBA Standings Regular Season 2002-03,13,28,4,37,3,21,0,0,1,9
Cleveland Cavaliers,17,65,0.207,43.0,91.4,101.0,-9.6,W1,NBA Standings Regular Season 2002-03,14,27,3,38,5,23,0,0,3,7
